galaxy_id,radius_kpc,v_obs_kms,v_obs_error
UGC02953,1.46,238,14.1
UGC02953,1.55,239,19.6
UGC02953,1.63,240,17.8
UGC02953,1.72,241,7.14
UGC02953,1.8,242,11.9
UGC02953,1.89,243,10.9
UGC02953,1.98,244,17.6
UGC02953,2.07,246,11.4
UGC02953,2.15,247,12.9
UGC02953,2.23,248,15.4
UGC02953,2.32,249,17.6
UGC02953,2.4,251,24
UGC02953,2.49,252,10.1
UGC02953,2.58,253,12
UGC02953,2.67,254,6.34
UGC02953,2.75,256,6.22
UGC02953,2.83,257,5.6
UGC02953,2.92,259,8.73
UGC02953,3,260,5.19
UGC02953,3.09,262,11
UGC02953,3.18,263,16
UGC02953,3.27,264,13.1
UGC02953,3.35,266,11.8
UGC02953,3.43,267,12.7
UGC02953,4.21,280,5.52
UGC02953,4.29,282,2.35
UGC02953,4.38,283,5.1
UGC02953,4.47,285,4.61
UGC02953,4.8,290,10.8
UGC02953,5.25,296,2.85
UGC02953,5.32,298,1.92
UGC02953,5.41,299,4.29
UGC02953,5.5,300,4.92
UGC02953,5.58,301,2.24
UGC02953,5.67,302,4.59
UGC02953,5.76,303,5.07
UGC02953,6,306,7.89
UGC02953,6.18,307,4.41
UGC02953,6.27,308,3.2
UGC02953,6.36,309,6.66
UGC02953,6.45,310,5.83
UGC02953,6.53,310,3.83
UGC02953,6.61,311,2.41
UGC02953,6.7,312,1.25
UGC02953,6.79,312,3.61
UGC02953,6.87,313,13.8
UGC02953,6.96,313,4.58
UGC02953,7.05,314,3.05
UGC02953,7.2,315,1.38
UGC02953,7.39,316,0.75
UGC02953,7.47,316,8.57
UGC02953,7.99,318,1.36
UGC02953,8.08,318,16
UGC02953,8.16,318,5.5
UGC02953,8.25,319,2.94
UGC02953,8.34,319,1.74
UGC02953,8.4,319,2.2
UGC02953,9.59,319,3.23
UGC02953,10.8,317,4.08
UGC02953,12.02,312,2.62
UGC02953,13.22,308,0.76
UGC02953,14.42,303,1.86
UGC02953,15.63,298,1.34
UGC02953,16.83,296,1.41
UGC02953,18.03,294,1.15
UGC02953,19.23,294,0.59
UGC02953,20.43,294,0.5
UGC02953,21.64,292,1.21
UGC02953,22.84,290,1.21
UGC02953,24.04,287,0.81
UGC02953,25.24,283,1.08
UGC02953,26.44,279,1.87
UGC02953,27.65,276,1.55
UGC02953,28.85,273,1.9
UGC02953,30.05,271,1.12
UGC02953,31.25,270,1.41
UGC02953,32.34,268,1.76
UGC02953,33.55,267,1.81
UGC02953,34.75,266,2.18
UGC02953,35.95,265,3.01
UGC02953,37.15,264,2.04
UGC02953,38.35,264,1.58
UGC02953,39.56,264,3.23
UGC02953,40.76,264,2.94
UGC02953,41.96,264,1.62
UGC02953,43.16,264,2.15
UGC02953,44.36,262,4.45
UGC02953,45.57,260,7.43
UGC02953,46.77,258,7.22
UGC02953,47.97,257,5.37
UGC02953,49.17,258,5.43
UGC02953,50.37,260,6.47
UGC02953,51.58,263,5.75
UGC02953,52.78,265,5.54
UGC02953,53.98,266,4.43
UGC02953,55.18,266,4.71
UGC02953,57.59,262,5.28
UGC02953,59.99,263,4.7
UGC02953,62.39,272,5.04
UGC03205,0.28,107,30.2
UGC03205,0.55,121,15.6
UGC03205,0.83,134,8.69
UGC03205,1.39,157,12.5
UGC03205,1.65,168,11.7
UGC03205,3.04,207,8.04
UGC03205,3.32,213,6.53
UGC03205,3.59,218,11.2
UGC03205,3.87,222,6.05
UGC03205,4.15,226,5.41
UGC03205,4.43,229,5.96
UGC03205,4.7,232,7.41
UGC03205,4.97,234,6.1
UGC03205,5.25,235,3.89
UGC03205,5.52,236,9.03
UGC03205,5.8,237,10
UGC03205,6.08,237,7.36
UGC03205,6.36,237,10.2
UGC03205,6.63,236,10.4
UGC03205,6.91,236,5.83
UGC03205,7.19,235,5.43
UGC03205,7.27,234,8.36
UGC03205,7.46,234,7.88
UGC03205,8.02,231,8.17
UGC03205,8.29,229,5.82
UGC03205,8.56,228,7.21
UGC03205,8.84,226,18.2
UGC03205,9.12,224,9.11
UGC03205,9.69,221,5.56
UGC03205,12.11,216,3.21
UGC03205,14.58,220,1.89
UGC03205,14.68,220,7.66
UGC03205,15.2,221,9.52
UGC03205,15.5,221,13.6
UGC03205,15.71,221,8.15
UGC03205,16.02,221,4.11
UGC03205,16.32,221,5.37
UGC03205,16.53,221,5.06
UGC03205,16.84,221,11.4
UGC03205,16.94,221,2.56
UGC03205,19.4,218,1.7
UGC03205,21.77,216,1.13
UGC03205,24.23,215,1.77
UGC03205,26.69,212,2.47
UGC03205,29.06,208,1.44
UGC03205,31.52,209,2.88
UGC03205,36.34,220,4.09
UGC03205,40.04,220,6.32
UGC03546,0.63,262,73.6
UGC03546,0.79,250,55.5
UGC03546,0.95,241,42.9
UGC03546,1.11,234,31.9
UGC03546,1.27,228,28.8
UGC03546,1.43,225,24.2
UGC03546,1.59,222,12.2
UGC03546,1.9,221,6.34
UGC03546,2.06,221,12.2
UGC03546,2.22,222,16.9
UGC03546,2.38,222,26
UGC03546,2.79,221,13.1
UGC03546,2.86,221,11.8
UGC03546,3.02,220,22.9
UGC03546,4.17,205,8.45
UGC03546,5.56,190,13.3
UGC03546,6.96,190,8.87
UGC03546,8.35,198,3.19
UGC03546,9.73,204,2.56
UGC03546,11.14,204,1.09
UGC03546,12.51,201,0.57
UGC03546,13.88,203,0.75
UGC03546,15.35,202,0.89
UGC03546,16.72,198,1.58
UGC03546,18.08,195,1.5
UGC03546,19.45,194,2.16
UGC03546,20.92,192,6.21
UGC03546,22.92,190,3.14
UGC03546,25.02,191,14.6
UGC03546,29.23,193,18.6
UGC03580,0.11,56.2,28.5
UGC03580,0.23,64.6,22.7
UGC03580,0.34,70.2,17.2
UGC03580,0.46,71.6,11.7
UGC03580,0.57,71,11.3
UGC03580,0.69,69,9.37
UGC03580,0.8,67.7,6.23
UGC03580,0.92,66.9,4
UGC03580,1.03,66.6,3.1
UGC03580,1.14,66.8,3.02
UGC03580,1.26,67.4,3.09
UGC03580,1.37,68.3,2.71
UGC03580,1.49,69.6,2.75
UGC03580,1.61,71.2,2.61
UGC03580,1.71,72.9,4.09
UGC03580,1.83,74.9,6.17
UGC03580,1.94,77,7.74
UGC03580,2.06,79.2,5.36
UGC03580,2.18,81.4,6.34
UGC03580,2.29,83.6,2.03
UGC03580,2.4,85.7,1.94
UGC03580,2.52,87.8,1.7
UGC03580,2.63,89.7,2.16
UGC03580,2.75,91.4,1.88
UGC03580,2.86,92.8,3.36
UGC03580,2.98,94.1,1.4
UGC03580,3.09,95.2,5.51
UGC03580,3.2,96.1,6.23
UGC03580,4.52,97.4,2.3
UGC03580,4.69,96.9,11.7
UGC03580,6.03,96.8,2.3
UGC03580,7.53,105,1.02
UGC03580,8.58,110,7.12
UGC03580,8.7,110,5.26
UGC03580,8.82,110,5.16
UGC03580,9.03,111,0.82
UGC03580,9.05,111,7.81
UGC03580,10.53,112,1.43
UGC03580,12.07,112,1.21
UGC03580,13.58,114,1.35
UGC03580,15.09,118,1.36
UGC03580,16.6,122,1.44
UGC03580,18.11,125,1.64
UGC03580,19.62,128,1.97
UGC03580,21.02,131,1.81
UGC03580,24.04,127,1.93
UGC03580,27.06,124,1.92
UGC04278,0.14,5.23,5.31
UGC04278,0.42,15.4,7.78
UGC04278,0.69,24.4,4
UGC04278,0.97,32.1,4
UGC04278,1.25,34.6,4
UGC04278,1.52,37.9,4
UGC04278,1.8,40.5,4
UGC04278,2.07,43,4
UGC04278,2.35,45.1,4
UGC04278,2.63,45.6,4
UGC04278,2.91,49.2,13
UGC04278,3.19,50.3,4
UGC04278,3.46,53.7,4.19
UGC04278,3.74,58,7.53
UGC04278,4.01,64.4,4
UGC04278,4.29,67.5,4
UGC04278,4.57,71.3,4
UGC04278,4.85,75.6,4
UGC04278,5.13,80,4
UGC04278,5.4,82.8,4
UGC04278,5.68,84.8,15.7
UGC04278,5.86,86.3,16.8
UGC04278,6.36,90.2,8.07
UGC04278,6.51,91.3,4
UGC04278,6.69,92.8,8.75
UGC04305,0.25,3.17,3.22
UGC04305,0.5,10.5,3.32
UGC04305,0.75,17.5,4.47
UGC04305,1,22.7,4.96
UGC04305,1.26,29.7,5.29
UGC04305,1.5,34.5,4.7
UGC04305,1.76,36,3.51
UGC04305,2.01,37.3,3.45
UGC04305,2.26,35.6,3.57
UGC04305,2.51,34.9,3.88
UGC04305,2.76,32.7,3.27
UGC04305,3.01,32.8,3.21
UGC04305,3.27,33.2,3.21
UGC04305,3.51,32.1,3.23
UGC04305,3.76,30.1,3.16
UGC04305,4.02,32.3,3.16
UGC04305,4.26,33.6,3.12
UGC04305,4.52,35.1,3.12
UGC04305,4.77,35.3,3.12
UGC04305,5.02,35.2,3.13
UGC04305,5.27,34.6,3.11
UGC04305,5.52,33,3.11
UGC04325,0.7,41.3,3.05
UGC04325,1.4,68.7,3.07
UGC04325,2.09,83.8,3.05
UGC04325,2.79,88.7,3.05
UGC04325,3.49,90.1,3.05
UGC04325,4.19,91.6,3.05
UGC04325,4.89,92.7,3.05
UGC04325,5.59,91.5,3.05
UGC04483,0.08,5.11,2.79
UGC04483,0.24,10.8,1.94
UGC04483,0.4,17.3,1.56
UGC04483,0.57,20.8,1.25
UGC04483,0.73,20.8,1.62
UGC04483,0.89,22.9,1.76
UGC04483,1.05,24.3,2.23
UGC04483,1.21,24.2,1.23
UGC04499,0.91,26,4.1
UGC04499,1.82,45.1,3.02
UGC04499,2.73,57,2.97
UGC04499,3.63,62,2.85
UGC04499,4.55,66.9,2.75
UGC04499,5.45,70.6,2.86
UGC04499,6.37,72.8,2.66
UGC04499,7.28,73.3,2.66
UGC04499,8.18,74.3,2.67
UGC05005,0.78,14.5,8.1
UGC05005,2.34,32.6,26.8
UGC05005,3.91,48.6,11.3
UGC05005,5.47,58.1,6.1
UGC05005,7.04,65.9,8.71
UGC05005,8.6,72.5,12.2
UGC05005,10.17,78.6,28.4
UGC05005,17.97,97.1,10
UGC05005,21.07,99.4,10
UGC05005,22.72,100,10
UGC05005,28.61,99.1,10
UGC05253,0.13,232,33.4
UGC05253,0.25,233,16.9
UGC05253,0.38,234,14.6
UGC05253,0.51,235,10.6
UGC05253,0.63,236,9.12
UGC05253,0.76,237,10.3
UGC05253,0.89,238,9.95
UGC05253,1.01,239,3.51
UGC05253,1.14,240,3.18
UGC05253,1.27,240,5.19
UGC05253,1.39,241,3.54
UGC05253,1.52,242,2.6
UGC05253,1.65,242,1.75
UGC05253,1.77,243,1.94
UGC05253,1.9,244,3.09
UGC05253,2.03,244,1.6
UGC05253,2.16,244,3
UGC05253,2.28,245,2.19
UGC05253,2.41,245,3.01
UGC05253,2.54,246,2.64
UGC05253,2.66,246,2.38
UGC05253,2.79,246,3.72
UGC05253,2.92,247,3.54
UGC05253,3.04,247,3.74
UGC05253,3.17,247,5.11
UGC05253,3.3,247,3.63
UGC05253,3.42,247,3.84
UGC05253,3.55,248,5.12
UGC05253,3.68,248,2.77
UGC05253,3.8,248,3.24
UGC05253,3.93,248,6.79
UGC05253,4.06,248,8.39
UGC05253,4.18,248,2.73
UGC05253,4.31,248,13.7
UGC05253,4.44,248,4.89
UGC05253,4.56,248,5.71
UGC05253,4.69,248,15.1
UGC05253,4.82,248,10.5
UGC05253,4.94,248,1.58
UGC05253,4.99,248,4.77
UGC05253,5.07,248,4.36
UGC05253,5.2,248,8.45
UGC05253,5.45,247,8.25
UGC05253,5.58,247,2.34
UGC05253,5.7,247,2.34
UGC05253,5.83,247,6.13
UGC05253,6.47,247,6.89
UGC05253,6.59,246,5.95
UGC05253,6.66,246,2.29
UGC05253,6.72,246,4.73
UGC05253,6.85,246,3.02
UGC05253,6.97,246,5.81
UGC05253,7.1,246,6.32
UGC05253,7.23,246,8.92
UGC05253,8.32,246,2.13
UGC05253,10,245,2.18
UGC05253,11.61,245,0.94
UGC05253,13.35,246,2.02
UGC05253,14.98,245,1.33
UGC05253,16.61,245,1.36
UGC05253,18.34,245,1.59
UGC05253,19.97,245,2.03
UGC05253,21.6,245,2.36
UGC05253,23.33,244,4.61
UGC05253,26.7,243,10.6
UGC05253,29.95,239,17
UGC05253,33.32,231,18.3
UGC05253,36.68,219,12.1
UGC05253,39.94,210,7.5
UGC05253,43.3,210,3.56
UGC05253,46.67,212,2.64
UGC05253,49.92,213,6.5
UGC05253,53.29,218,6.53
UGC05414,0.68,20.5,2.47
UGC05414,1.37,34.6,2.45
UGC05414,2.05,46,2.45
UGC05414,2.74,51.8,2.46
UGC05414,3.42,56.8,2.44
UGC05414,4.11,61.4,2.44
UGC05716,1.03,39.15,4.06
UGC05716,2.07,49.15,1.65
UGC05716,3.09,55.05,0.6
UGC05716,4.13,59.35,0.41
UGC05716,5.16,63.85,0.46
UGC05716,6.2,68.2,0.86
UGC05716,7.23,71.7,1.07
UGC05716,8.26,73.5,1.07
UGC05716,9.28,73.15,1
UGC05716,10.34,72.5,0.74
UGC05716,11.4,73,1.07
UGC05716,12.37,74.7,2.09
UGC05721,0.09,16.5,4.57
UGC05721,0.27,38.5,6.88
UGC05721,0.45,47.4,4.57
UGC05721,0.63,55.5,4.57
UGC05721,0.81,56.4,5.45
UGC05721,0.99,59.8,4.57
UGC05721,1.17,67.8,4.57
UGC05721,1.35,76.4,4.57
UGC05721,1.53,81.2,4.57
UGC05721,1.71,82.2,19.2
UGC05721,1.89,82.6,4.57
UGC05721,2.07,82.3,4.57
UGC05721,2.25,82.1,4.57
UGC05721,2.67,81.4,4.57
UGC05721,3.15,79.3,4.57
UGC05721,3.61,78.5,4.57
UGC05721,4.04,78.2,4.57
UGC05721,4.49,78.1,4.57
UGC05721,4.93,78.2,4.57
UGC05721,5.38,78.3,4.57
UGC05721,5.86,78.6,4.57
UGC05721,6.28,78.9,4.57
UGC05721,6.74,79.5,4.57
UGC05750,0.31,3.1,4.5
UGC05750,1.47,15.7,8.5
UGC05750,2.52,28,10
UGC05750,3.35,36,11
UGC05750,4.09,43.6,4.5
UGC05750,4.82,49.8,4.5
UGC05750,6.6,61.5,4.5
UGC05750,7.86,68.1,12.2
UGC05750,9.43,73.4,12.2
UGC05750,11.43,77.6,11
UGC05750,22.85,78.9,11
UGC05764,0.36,21.45,1.99
UGC05764,0.73,31.3,1.58
UGC05764,1.09,41.7,1.16
UGC05764,1.45,48.35,0.44
UGC05764,1.81,50.6,0.37
UGC05764,2.17,54.05,0.59
UGC05764,2.54,55.8,0.76
UGC05764,2.9,54.55,0.71
UGC05764,3.26,50,2.65
UGC05764,3.62,49.9,2.77
UGC05829,0.63,14.8,5.06
UGC05829,1.26,27.2,5.06
UGC05829,1.88,34.1,5.06
UGC05829,2.52,38.8,5.06
UGC05829,3.14,42.8,5.06
UGC05829,3.77,47.9,5.06
UGC05829,4.4,51.9,5.06
UGC05829,5.03,57.6,5.06
UGC05829,5.65,60.7,5.06
UGC05829,6.29,65.6,5.06
UGC05829,6.91,68.6,5.06
UGC05918,0.56,16.9,3.93
UGC05918,1.11,27.4,3.93
UGC05918,1.67,33.5,3.93
UGC05918,2.23,36.4,3.93
UGC05918,2.79,39.8,3.93
UGC05918,3.34,41.2,3.93
UGC05918,3.9,42.6,3.93
UGC05918,4.46,44.5,3.93
UGC05986,0.63,29.5,2.53
UGC05986,1.26,50.8,3.76
UGC05986,1.88,68.2,2.58
UGC05986,2.51,84.3,2.28
UGC05986,3.13,95.3,2.01
UGC05986,3.77,106,3.58
UGC05986,4.39,112,4.25
UGC05986,5.02,115,3.18
UGC05986,5.65,116,2.32
UGC05986,6.28,116,2.01
UGC05986,6.9,116,2.28
UGC05986,7.54,114,3.05
UGC05986,8.16,112,3.69
UGC05986,8.79,109,5.1
UGC05986,9.41,107,6.39
UGC05999,3.48,46.2,5
UGC05999,6.94,81.1,5
UGC05999,10.42,91.2,5
UGC05999,13.89,97.7,5
UGC05999,16.22,100,5
UGC06399,0.87,24.8,6.5
UGC06399,1.74,46.2,5.6
UGC06399,2.61,60.5,5.8
UGC06399,3.5,69.6,3.9
UGC06399,4.37,77.5,3.7
UGC06399,5.24,82.9,4.5
UGC06399,6.11,84.1,4.9
UGC06399,6.98,85.6,4.9
UGC06399,7.85,87.6,4.9
UGC06446,0.58,31.3,6.3
UGC06446,1.16,54.8,5.8
UGC06446,1.74,61.1,4.1
UGC06446,2.33,63.9,4.1
UGC06446,2.91,67.2,4.1
UGC06446,3.49,70.4,3.6
UGC06446,4.07,73.7,3.6
UGC06446,4.65,78,4.1
UGC06446,5.23,80.8,4.1
UGC06446,5.81,80.5,3.6
UGC06446,6.4,81.3,3.6
UGC06446,6.98,82.1,4.6
UGC06446,7.62,82.8,4.6
UGC06446,8.28,84.9,5.5
UGC06446,8.9,84.3,5.5
UGC06446,9.52,83.2,7
UGC06446,10.22,80.1,10.8
UGC06614,3.23,194,16.7
UGC06614,9.18,172,8.1
UGC06614,10.64,170,10.7
UGC06614,11.58,170,6.8
UGC06614,12.52,171,6.8
UGC06614,13.57,172,12.1
UGC06614,15.76,174,19.6
UGC06614,24.94,193,23.2
UGC06614,26.3,194,23
UGC06614,34.96,201,7.2
UGC06614,36.84,202,17.1
UGC06614,47.38,205,16
UGC06614,64.59,204,16
UGC06628,1.1,26.9,8.27
UGC06628,2.2,38,8.27
UGC06628,3.3,40.5,8.27
UGC06628,4.39,41.4,8.27
UGC06628,5.5,42.3,8.27
UGC06628,6.59,42.3,8.27
UGC06628,7.69,42.3,8.27
UGC06667,0.87,26.6,4.4
UGC06667,1.74,45.2,2.7
UGC06667,2.61,57,3.9
UGC06667,3.5,69.3,3
UGC06667,4.37,77.3,3.4
UGC06667,5.24,80.7,3.9
UGC06667,6.11,84,3
UGC06667,6.98,85,3
UGC06667,7.85,85.7,3.4
UGC06786,0.16,160,36
UGC06786,0.32,177,30.9
UGC06786,0.49,180,25.3
UGC06786,0.65,180,32
UGC06786,1.3,182,4.72
UGC06786,1.46,183,10.8
UGC06786,1.62,184,7.43
UGC06786,3.72,206,8.42
UGC06786,3.89,207,4.54
UGC06786,4.05,209,5.36
UGC06786,4.22,210,2.43
UGC06786,4.26,210,4.6
UGC06786,4.38,211,2.8
UGC06786,4.54,213,2.18
UGC06786,4.71,214,7.61
UGC06786,4.86,215,4.7
UGC06786,5.02,215,2.34
UGC06786,5.18,216,2.95
UGC06786,5.35,217,4.48
UGC06786,5.51,217,3.99
UGC06786,5.68,218,5.14
UGC06786,5.84,218,2.51
UGC06786,6,219,3.95
UGC06786,6.15,219,7.84
UGC06786,6.48,219,7.74
UGC06786,6.64,219,6.69
UGC06786,6.81,220,6.26
UGC06786,7.1,220,2.52
UGC06786,7.13,220,11.4
UGC06786,8.52,220,2.93
UGC06786,10.66,225,1.79
UGC06786,11.99,228,5.71
UGC06786,12.1,228,9.96
UGC06786,12.33,228,8.24
UGC06786,12.78,229,1.74
UGC06786,14.93,228,1.64
UGC06786,17.08,226,1.34
UGC06786,19.23,226,1.39
UGC06786,21.27,227,1.11
UGC06786,23.42,227,1.37
UGC06786,25.57,224,2.79
UGC06786,27.72,218,9.41
UGC06786,29.87,215,8.18
UGC06786,32.02,219,5.06
UGC06786,34.05,211,7.05
UGC06787,0.12,134,41.1
UGC06787,0.24,208,35.5
UGC06787,0.35,252,27.1
UGC06787,0.47,272,11.6
UGC06787,0.59,276,12.6
UGC06787,0.71,271,16.3
UGC06787,0.83,266,11.9
UGC06787,0.94,262,12.2
UGC06787,1.06,260,12.1
UGC06787,1.18,260,11.9
UGC06787,1.3,259,8.04
UGC06787,1.42,257,10.2
UGC06787,1.53,254,9.68
UGC06787,1.66,244,4.95
UGC06787,1.89,228,9.83
UGC06787,2.01,220,18.6
UGC06787,2.13,215,4.11
UGC06787,2.24,213,16.1
UGC06787,3.1,228,9.59
UGC06787,3.79,236,7.22
UGC06787,3.9,236,7.24
UGC06787,4.14,237,8.26
UGC06787,4.25,237,4.07
UGC06787,4.37,237,4.04
UGC06787,4.49,237,1.94
UGC06787,4.61,237,1.49
UGC06787,4.72,236,2.38
UGC06787,5.16,235,2.4
UGC06787,5.43,234,4.05
UGC06787,5.56,233,3.03
UGC06787,5.67,233,2.48
UGC06787,5.79,233,3.03
UGC06787,5.91,232,6.7
UGC06787,6.03,232,7.44
UGC06787,6.2,232,1.64
UGC06787,6.5,233,14.3
UGC06787,6.85,235,7.57
UGC06787,6.98,236,3.05
UGC06787,7.09,236,2.91
UGC06787,7.21,237,4.07
UGC06787,7.22,238,2.02
UGC06787,7.33,238,6.76
UGC06787,7.45,239,3.49
UGC06787,7.56,240,10.1
UGC06787,8.26,247,0.85
UGC06787,8.98,252,8.91
UGC06787,9.09,253,7.13
UGC06787,9.3,254,0.73
UGC06787,10.32,253,0.96
UGC06787,11.38,247,1.99
UGC06787,12.4,238,3.15
UGC06787,13.41,229,1.67
UGC06787,14.43,223,3.52
UGC06787,15.44,220,1.13
UGC06787,16.57,220,1.12
UGC06787,17.58,224,1.93
UGC06787,18.6,228,2.04
UGC06787,19.61,234,2.55
UGC06787,20.62,239,2.91
UGC06787,21.64,243,3.08
UGC06787,22.77,245,3.6
UGC06787,23.78,247,2.67
UGC06787,24.79,249,3.37
UGC06787,25.81,250,2.08
UGC06787,26.82,251,1.68
UGC06787,27.84,251,2.78
UGC06787,29.41,248,3.4
UGC06787,30.99,246,2.91
UGC06787,32.57,249,3.46
UGC06787,34.03,252,3.23
UGC06787,37.19,255,4.16
